NodeId:21	12.35049236257827,11.141030187647441
NodeId:75	0.3328796448082286,0.3375299313489765,29,34,37,51,54,65,85,91
NodeId:76	0.9192511152450885,0.9312248619751589,9
NodeId:77	0.5357782174748524,0.542748490439523,0,5,32,37,40,41,44,69,79,83,85,86,87
NodeId:78	1.6981638027790313,1.7216910254219764,13,19,34,82
NodeId:79	0.9459868947536807,0.9581281964436998,0,26,43,74,90
NodeId:8	0.20517294761987878,0.20866781137519408,13,41,59,87
NodeId:80	1.1728005532694084,1.1884343348127264,31,79
NodeId:81	0.47272078075151064,0.4800947628218687,5,21,26,78,93,96
NodeId:82	0.6603216224167319,0.6686804609709971,2,23,24,32,52,53
NodeId:83	1.2887210022679152,1.3065488551610527,1,4,10,18,27,29,70
NodeId:84	1.0373949428195453,1.0507147425311276,9,21
NodeId:85	0.6386868327559698,0.6474359813809434,32,54,57,64,69,90,99
NodeId:86	1.3931092647144243,1.4124204184936187,11,60,71,95
NodeId:87	0.3423780284298936,0.3477540153390577,8,19,20,27,30,47,54,63
NodeId:88	1.3517279786926588,1.3705426614276162,21,26,44,50,55,82
NodeId:89	0.47549011342623804,0.4814877003779408,16,32,35,38,40,57,58
NodeId:9	1.7714852024710266,1.7948032758777497,33,39,41,43,51,69,80
NodeId:90	0.9110920427398814,0.9232479665902048,1,26,52,93,96
NodeId:91	0.655275220460376,0.6639138476473531,12,24,66,81,95
NodeId:92	1.6769376103808291,1.7013263431069496,22,34,39,57
NodeId:93	0.961310583207666,0.9756799425636575,15,43,66,75
NodeId:94	1.0584712266016247,1.07411714552548,4,17,20,90
NodeId:95	1.4709575137156365,1.4909653380210608,76,88
NodeId:96	0.733028206313312,0.7424751376660005,12,13,24,31,60,74
NodeId:97	1.1394068027124424,1.1544565214868026,37,50,62,89
NodeId:98	1.0588481260291238,1.0732468083706055,5,13,15,28,49,66,92,94
NodeId:99	1.1355416601018875,1.1514087345516717,1,83
